Model,Best Accuracy,Final Accuracy,Precision,Recall,F1-Score
googlenet,0.9696,0.9696,0.9719,0.9696,0.9698
resnet18,0.9505,0.9505,0.9516,0.9505,0.9472
mobilenet_v2,0.933,0.933,0.9352,0.933,0.9316
mobilenet_v3s,0.898,0.898,0.9099,0.898,0.8968
mobilenet_v3l,0.9221,0.9221,0.9233,0.9221,0.9195
efficientnet_b0,0.9416,0.9416,0.9441,0.9416,0.94
densenet121,0.9533,0.9533,0.957,0.9533,0.9531
squeezenet1_1,0.9097,0.9097,0.9209,0.9097,0.91
shufflenet_v2_1,0.8886,0.8886,0.8982,0.8886,0.8871
shufflenet_v2_2,0.9287,0.9287,0.9355,0.9287,0.9268
regnet_400,0.9155,0.9155,0.9235,0.9155,0.9149
