Model,Best Accuracy,Final Accuracy,Precision,Recall,F1-Score
resnet18,0.9549,0.9549,0.9584,0.9549,0.9544
mobilenet_v2,0.9233,0.9233,0.9314,0.9233,0.9229
mobilenet_v3s,0.9021,0.9021,0.9115,0.9021,0.9021
mobilenet_v3l,0.9367,0.9367,0.939,0.9367,0.9364
efficientnet_b0,0.9412,0.9412,0.9456,0.9412,0.9411
densenet121,0.9563,0.9563,0.959,0.9563,0.9558
googlenet,0.9636,0.9636,0.9671,0.9636,0.9635
squeezenet1_1,0.9137,0.9137,0.9194,0.9137,0.9115
shufflenet_v2_1,0.8766,0.8766,0.8945,0.8766,0.8761
shufflenet_v2_2,0.9295,0.9295,0.9405,0.9295,0.9304
regnet_400,0.897,0.897,0.907,0.897,0.8969
